City,Latitude,Longitude,Max Temperature,Humidity %,Cloudiness %,Wind Speed (km/hr),Country,Date
Lokosovo,61.1333,74.8167,8.64,89,100,8.28,RU,1622047144
Coahuayana Viejo,18.7333,-103.6833,30.71,47,90,2.86,MX,1622047145
Kavaratti,10.5669,72.642,28.92,72,97,7.37,IN,1622046645
Wanaka,-44.7,169.15,2.98,62,9,2.27,NZ,1622047145
Ushuaia,-54.8,-68.3,-1.19,100,75,10.29,AR,1622047061
Margate,51.3813,1.3862,14.12,61,58,1.79,GB,1622047146
Kosino,58.4127,51.2782,8.93,75,99,3.02,RU,1622047146
Punta Arenas,-53.15,-70.9167,2.96,70,20,8.45,CL,1622047048
Vaini,-21.2,-175.2,18.09,100,20,0.0,TO,1622047147
Castro,-24.7911,-50.0119,18.26,48,96,1.27,BR,1622047147
Ñuñoa,-14.48,-70.6411,12.53,39,49,4.12,PE,1622047148
Leningradskiy,69.3833,178.4167,-2.33,91,31,3.23,RU,1622047147
Yellowknife,62.456,-114.3525,7.11,39,40,2.24,CA,1622047148
Vanimo,-2.6741,141.3028,25.21,90,90,2.45,PG,1622047149
Bredasdorp,-34.5322,20.0403,14.62,77,90,0.46,ZA,1622047149
Booué,-0.0921,11.9385,25.71,91,97,0.92,GA,1622047150
Sur,22.5667,59.5289,34.19,42,6,4.54,OM,1622047150
Tiksi,71.6872,128.8694,-0.19,98,85,0.78,RU,1622047150
Jamestown,42.097,-79.2353,24.82,64,75,6.71,US,1622047039
Shangzhi,45.2167,127.9667,7.75,89,83,1.77,CN,1622047045
Toccoa,34.5773,-83.3324,29.64,44,75,3.6,US,1622046907
Mataura,-46.1927,168.8643,0.8,85,36,1.46,NZ,1622047152
Hermanus,-34.4187,19.2345,14.33,83,90,1.3,ZA,1622047152
Taoudenni,22.6783,-3.9836,35.17,23,100,6.91,ML,1622047152
Gornyy,55.1153,83.9059,16.12,81,15,5.75,RU,1622047153
San Patricio,28.017,-97.5169,29.35,67,11,7.08,US,1622047154
Porto-Novo,6.4965,2.6036,30.9,73,55,5.19,BJ,1622047154
Dikson,73.5069,80.5464,-2.75,96,100,6.19,RU,1622047154
Nyuksenitsa,60.4128,44.2397,7.14,61,100,1.32,RU,1622047155
New Norfolk,-42.7826,147.0587,7.38,77,98,0.89,AU,1622047155
Cidreira,-30.1811,-50.2056,19.08,48,0,2.69,BR,1622047156
Avarua,-21.2078,-159.775,26.03,94,75,2.57,CK,1622047156
Tondano,1.3038,124.9112,20.05,96,27,1.41,ID,1622047156
Barrow,71.2906,-156.7887,-1.99,93,90,6.69,US,1622047157
Bluff,-46.6,168.3333,4.78,84,56,4.65,NZ,1622047157
Maumere,-8.6199,122.2111,26.25,80,55,2.07,ID,1622047158
Narsaq,60.9167,-46.05,1.12,97,100,2.06,GL,1622047158
Hilo,19.7297,-155.09,22.03,80,90,2.57,US,1622047159
Lavrentiya,65.5833,-171.0,1.05,73,24,5.34,RU,1622047159
Udachny,66.4167,112.4,8.09,64,40,1.3,RU,1622046645
Upernavik,72.7868,-56.1549,0.44,86,64,4.33,GL,1622046638
George Town,5.4112,100.3354,28.84,81,40,2.06,MY,1622047017
São Filipe,14.8961,-24.4956,24.5,70,1,3.29,CV,1622047160
Hithadhoo,-0.6,73.0833,28.68,73,94,8.82,MV,1622047160
Nikolskoye,59.7035,30.7861,11.79,89,82,3.95,RU,1622047161
Cape Town,-33.9258,18.4232,15.1,74,0,0.45,ZA,1622047014
Troitsko-Pechorsk,62.7084,56.1964,6.58,43,98,3.54,RU,1622047162
Albany,42.6001,-73.9662,28.79,57,41,0.45,US,1622046980
Port Alfred,-33.5906,26.891,16.53,74,94,1.97,ZA,1622047162
Bengkulu,-3.8004,102.2655,25.61,84,100,2.07,ID,1622046947
Asău,46.4333,26.4,15.53,81,88,1.17,RO,1622046991
Hasaki,35.7333,140.8333,17.82,79,100,3.96,JP,1622046975
Sitka,57.0531,-135.33,7.94,87,90,0.0,US,1622046630
Rikitea,-23.1203,-134.9692,24.84,79,38,11.23,PF,1622046977
Olafsvik,64.8945,-23.7142,8.83,77,96,4.12,IS,1622047164
Prado,-17.3411,-39.2208,25.76,75,98,2.38,BR,1622047164
Lebu,-37.6167,-73.65,15.92,81,98,3.63,CL,1622047165
Saint Paul Harbor,57.79,-152.4072,10.73,54,1,7.72,US,1622047140
