City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Egvekinot,66.3167,-179.1667,3.67,76,99,4.86,RU,1621986790
Kavieng,-2.5744,150.7967,26.58,85,100,3.1,PG,1621986846
Mataura,-46.1927,168.8643,9.71,47,93,1.3,NZ,1621986563
Avarua,-21.2078,-159.775,28.03,78,20,3.09,CK,1621986827
Bredasdorp,-34.5322,20.0403,11.62,76,75,2.6,ZA,1621986832
Berlevåg,70.8578,29.0864,2.37,71,35,3.38,NO,1621986835
Punta Arenas,-53.15,-70.9167,2.06,87,20,5.52,CL,1621986583
Bambous Virieux,-20.3428,57.7575,22.14,88,75,4.15,MU,1621986847
Juneau,58.3019,-134.4197,13.05,78,93,1.69,US,1621986847
Lüderitz,-26.6481,15.1594,16.68,68,0,3.15,NA,1621986848
Flinders,-34.5833,150.8552,17.38,60,27,3.58,AU,1621986848
Bethel,41.3712,-73.414,19.02,68,1,4.12,US,1621986648
Melfort,52.8667,-104.6177,5.07,65,94,4.63,CA,1621986849
Saint Paul Harbor,57.79,-152.4072,12.99,56,0,2.21,US,1621986572
Kubrat,43.8,26.5,19.19,82,100,3.15,BG,1621986850
Emerald,-23.5333,148.1667,20.08,73,2,1.54,AU,1621986850
Cherskiy,68.75,161.3,16.03,32,91,6.09,RU,1621986765
Belaya Gora,68.5333,146.4167,12.22,45,66,6.54,RU,1621986851
Busselton,-33.65,115.3333,12.41,75,100,4.44,AU,1621986833
Kingaroy,-26.5333,151.8333,14.02,100,0,0.51,AU,1621986852
Itarema,-2.9248,-39.9167,25.75,78,35,5.17,BR,1621986689
Assiut,27.181,31.1837,24.1,23,0,3.15,EG,1621986628
Kapaa,22.0752,-159.319,28.4,59,14,0.89,US,1621986852
Szczecinek,53.7079,16.6994,7.41,94,11,4.65,PL,1621986853
Tasiilaq,65.6145,-37.6368,3.06,87,100,20.3,GL,1621986853
Longyearbyen,78.2186,15.6401,-2.09,86,75,7.72,SJ,1621986596
Saldanha,-33.0117,17.9442,8.03,82,8,0.93,ZA,1621986854
Marawi,7.9986,124.2928,20.36,77,90,0.65,PH,1621986855
Sørland,67.667,12.6934,5.99,75,0,10.52,NO,1621986612
Lázaro Cárdenas,17.9583,-102.2,29.28,51,66,5.54,MX,1621986855
Vestmanna,62.1564,-7.1664,7.51,93,20,4.6,FO,1621986856
Rikitea,-23.1203,-134.9692,25.15,78,68,6.73,PF,1621986603
Thompson,55.7435,-97.8558,-1.91,80,90,8.75,CA,1621986675
Chokurdakh,70.6333,147.9167,2.91,75,67,4.07,RU,1621986857
Qaanaaq,77.484,-69.3632,0.01,76,10,2.43,GL,1621986575
Grakhovo,56.0502,51.9676,8.42,93,3,2.76,RU,1621986857
Butaritari,3.0707,172.7902,27.77,79,100,8.2,KI,1621986848
Cap-aux-Meules,47.3821,-61.8597,13.01,67,75,11.83,CA,1621986858
Te Anau,-45.4167,167.7167,9.15,62,72,0.99,NZ,1621986858
Tuktoyaktuk,69.4541,-133.0374,-1.0,86,90,3.09,CA,1621986604
Khatanga,71.9667,102.5,-0.29,98,100,2.39,RU,1621986832
Ushuaia,-54.8,-68.3,-1.19,86,75,7.2,AR,1621986828
Oistins,13.0667,-59.5333,27.05,61,40,7.2,BB,1621986860
Sambava,-14.2667,50.1667,20.13,86,14,2.78,MG,1621986860
Bluff,-46.6,168.3333,9.89,52,75,2.34,NZ,1621986840
Provideniya,64.3833,-173.3,7.06,61,0,7.0,RU,1621986826
Sorong,-0.8833,131.25,25.33,87,100,4.43,ID,1621986861
San Cristobal,7.7669,-72.225,18.36,99,100,1.68,VE,1621986645
Lebu,-37.6167,-73.65,13.25,86,94,1.11,CL,1621986591
Bengkulu,-3.8004,102.2655,25.42,84,78,1.27,ID,1621986668
Kotido,2.9806,34.1331,19.78,80,57,3.01,UG,1621986619
Faanui,-16.4833,-151.75,27.28,71,64,5.23,PF,1621986862
Majene,-3.5403,118.9707,26.91,83,98,3.78,ID,1621986863
Tura,25.5198,90.2201,23.18,97,100,1.64,IN,1621986829
Puerto Ayora,-0.7393,-90.3518,23.64,90,32,1.79,EC,1621986824
Ellensburg,46.9965,-120.5479,18.16,49,20,6.71,US,1621986681
Tiksi,71.6872,128.8694,1.75,89,23,0.83,RU,1621986834
Castro,-24.7911,-50.0119,9.59,59,37,0.56,BR,1621986608
Jucurutu,-6.0339,-37.0203,25.15,65,25,1.73,BR,1621986864
Margate,51.3813,1.3862,8.9,76,73,0.89,GB,1621986865
Atuona,-9.8,-139.0333,26.72,62,21,6.16,PF,1621986588
Port Elizabeth,-33.918,25.5701,16.16,88,0,4.12,ZA,1621986839
Hilo,19.7297,-155.09,26.35,71,1,6.69,US,1621986629
Jamestown,42.097,-79.2353,25.82,57,1,2.57,US,1621986734
Tupanciretã,-29.0806,-53.8358,9.31,74,1,1.23,BR,1621986866
Port Lincoln,-34.7333,135.8667,14.87,56,60,6.17,AU,1621986854
Río Gallegos,-51.6226,-69.2181,2.03,80,0,7.72,AR,1621986866
Airai,-8.9266,125.4092,18.97,69,22,2.12,TL,1621986842
Esim,4.8699,-2.2405,26.66,83,100,2.75,GH,1621986867
Hermanus,-34.4187,19.2345,14.39,73,44,3.18,ZA,1621986593
Liège,50.6337,5.5675,8.95,81,40,4.63,BE,1621986868
Nuuk,64.1835,-51.7216,1.0,78,27,4.58,GL,1621986773
Frolovo,49.7713,43.6622,13.12,90,88,4.06,RU,1621986868
Cape Town,-33.9258,18.4232,12.78,82,0,0.45,ZA,1621986587
Haines Junction,60.7522,-137.5108,12.97,54,95,4.12,CA,1621986869
Wajir,1.7471,40.0573,24.09,68,84,7.55,KE,1621986678
Lompoc,34.6391,-120.4579,19.26,64,1,7.72,US,1621986869
Broken Hill,-31.95,141.4333,10.84,71,0,5.14,AU,1621986870
